status,name,file_number,inactivationDate,registrationData,struck_off_date,jurisdiction
inactive,Zulauf Inc,1498720,2005-10-06,envisioneer out-of-the-box synergies,2002-06-08,mdlL
active,Turner Group,257695301,1982-03-15,seize granular web services,1995-08-15,habl
inactive,Anderson-Turcotte,4747677,1975-01-27,repurpose turn-key initiatives,1996-05-04,oZmp
active,Stehr Ltd,580142,1978-06-09,strategize vertical synergies,1999-05-07,gPxc
active,"Jenkins, McLaughlin and Sawayn",9375410,2013-05-02,generate vertical e-tailers,1976-02-26,uiUG
inactive,Klocko-Greenfelder,654206,1970-01-28,drive B2B e-services,2008-04-22,Fkib
inactive,Nienow-Predovic,175990,1983-10-20,expedite wireless convergence,2013-02-25,Ehtc
active,"O'Hara, Beer and Schmitt",441635,1995-02-06,redefine global web-readiness,2015-05-23,yqcc
active,Lowe and Sons,85552,1993-01-02,incentivize back-end initiatives,2014-06-04,MZUJ
inactive,"Hamill, Grant and Heller",3,1987-05-11,enhance cross-platform e-services,2008-07-26,xxep
active,"Funk, Rau and Armstrong",8276,1972-09-21,grow global schemas,1999-10-23,LgWo
active,Williamson Group,343741289,1986-01-05,extend B2B e-tailers,2012-03-29,MLdB
active,"Schuster, O'Kon and Brekke",200546718,1980-10-09,target leading-edge bandwidth,1972-12-17,YnpS
inactive,Quigley LLC,0,1984-04-26,transform world-class action-items,1990-06-01,VXrP
active,"Sipes, Kerluke and Ankunding",3,2013-05-19,embrace mission-critical architectures,2007-04-02,FuIn
active,Block-Fisher,914477043,1998-10-14,iterate 24/365 bandwidth,1975-08-11,IpBt
inactive,Mann LLC,411,2015-09-29,engineer open-source metrics,1992-03-09,gWun
active,McClure and Sons,55809902,1977-10-04,matrix impactful action-items,2012-08-02,eKMs
active,Streich-Leffler,0,1995-07-08,aggregate rich paradigms,1989-01-27,oFxP
active,"Osinski, Mayer and Hammes",0,2009-04-06,grow rich supply-chains,1987-09-04,APdQ
active,Padberg-Hirthe,282205,1991-06-22,re-contextualize intuitive mindshare,1974-05-23,TtaK
active,Jaskolski PLC,39381,1986-01-27,engage bleeding-edge e-markets,1987-07-11,sOgw
inactive,Jones Inc,48,2009-11-25,optimize scalable initiatives,1984-02-14,aVkh
inactive,Olson and Sons,1100278,2012-08-15,exploit open-source convergence,1975-10-04,gqiG
inactive,Koss-Bosco,0,2006-12-09,redefine next-generation web services,1986-02-14,TsKc
active,"Koepp, Weimann and Dare",0,2013-05-16,repurpose collaborative action-items,1994-05-07,EWyB
active,Robel and Sons,0,2009-02-28,leverage plug-and-play supply-chains,1991-06-26,rNWa
inactive,Krajcik-Mosciski,0,1972-10-12,exploit dynamic synergies,1980-11-04,AVTl
inactive,Stokes Inc,8191695,1996-04-01,benchmark end-to-end communities,1991-06-02,csdv
active,"Reynolds, Grimes and Brekke",339666844,2008-04-13,monetize wireless e-markets,1976-01-04,HuYE
active,Trantow-Hilpert,21895,2008-07-08,productize back-end e-business,1986-12-10,gENr
active,Raynor PLC,366768623,2013-10-07,architect open-source solutions,1995-04-23,GoLz
inactive,"Corkery, Harber and Huels",755454594,1987-04-21,transform world-class systems,1979-06-16,HAKV
inactive,Abernathy and Sons,20,1995-06-03,brand impactful relationships,1999-12-30,heng
inactive,West Ltd,0,1994-01-23,reinvent scalable e-markets,1976-05-29,IDUp
